TableName,ColumnName
CORE_ACCOUNTING_CLERK,COMPANY_ID
CORE_ACCOUNTING_CLERK,TAS_SOURCE_ID
CORE_ACCOUNTING_CLERK,ACCOUNTING_CLERK_ID
CORE_ACCOUNTING_CLERK,SAP_OFFICE_USERNAME
CORE_ACCOUNTING_CLERK,ACCOUNTING_CLERK_NAME
CORE_ASSET,LAST_RETIREMENT_DATE
CORE_ASSET,CREATED_BY
CORE_ASSET,START_FISCAL_PERIOD
CORE_ASSET,LAST_INVENTORY_DATE
CORE_ASSET,INVENTORY_INDICATOR
CORE_ASSET,ASSET_DESCRIPTION
CORE_ASSET,DEACTIVATION_DATE
CORE_ASSET,ASSET_CLASS_ID
CORE_ASSET,ASSET_AQUIRED_USAGE_FLAG
CORE_ASSET,ASSET_SUB_ID
CORE_ASSET,VALUE_START_DATE
CORE_ASSET,ASSET_TYPE_NAME
CORE_ASSET,ASSET_CAPITALISATION_DATE
CORE_ASSET,TAS_SOURCE_ID
CORE_ASSET,TAS_CREATE_DATE
CORE_ASSET,COMPANY_ID
CORE_ASSET,ACCOUNT_DETERMINATION_GROUP
CORE_ASSET,DELETION_INDICATOR
CORE_ASSET,ASSET_TYPE_ID
CORE_ASSET,ASSET_ID
CORE_BILLING_TYPE,BILL_TYPE_FOR_CANCELLATION
CORE_BILLING_TYPE,BILLING_CATEGORY_CODE
CORE_BILLING_TYPE,BILLING_TYPE_DESCRIPTION
CORE_BILLING_TYPE,BILLING_TYPE_ID
CORE_BILLING_TYPE,TAS_SOURCE_ID
CORE_BILLING_TYPE_L,BILLING_TYPE_ID
CORE_BILLING_TYPE_L,TAS_SOURCE_ID
CORE_BILLING_TYPE_L,BILLING_TYPE_DESCRIPTION
CORE_BILLING_TYPE_L,LANGUAGE_ID
CORE_BUSINESS_AREA,TAS_SOURCE_ID
CORE_BUSINESS_AREA,CONSOLIDATION_AREA
CORE_BUSINESS_AREA,BUSINESS_AREA_NAME
CORE_BUSINESS_AREA,BUSINESS_AREA_ID
CORE_BUSINESS_AREA,GLOBAL_AREA
CORE_BUSINESS_AREA_L,BUSINESS_AREA_NAME
CORE_BUSINESS_AREA_L,TAS_SOURCE_ID
CORE_BUSINESS_AREA_L,LANGUAGE_ID
CORE_BUSINESS_AREA_L,BUSINESS_AREA_ID
